month,gx,gy,day_type,hour,avg_total_users,avg_users_under_10min,avg_users_10_30min,avg_users_over_30min,sex_1,sex_2,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_other,city_keelung,city_taipei,city_newtaipei,city_taoyuan,city_hsinchu_city,city_hsinchu_county,city_miaoli,city_taichung,city_changhua,city_nantou,city_yunlin,city_chiayi_city,city_chiayi_county,city_tainan,city_kaohsiung,city_pingtung,city_yilan,city_hualien,city_taitung,city_penghu,city_kinmen,city_lienchiang
202412,7166,7151,假日,1,22.11,8.11,2.89,11.11,50.05,49.95,1.49,4.53,9.31,4.96,5.72,4.61,9.7,13.48,14.76,31.43,69.45,3.71,13.45,1.36,0.48,0,0.48,1.77,0,1.85,0.44,0,0,0.48,1.86,0,3.37,0.88,0.4,0,0,0
202412,7166,7152,假日,1,34.22,16.11,5.56,12.56,68.31,31.69,1.33,8.16,7.22,7.24,6.53,10.25,6.58,14.41,6.48,31.81,61.25,4.19,13.67,4.52,0.35,2.42,0,3.41,0.54,0.65,0,0,0.63,0.69,4.74,0,2.62,0,0.33,0,0,0
202412,7166,7153,假日,1,26,7,4.44,14.56,56.18,43.82,0.99,5.35,8.57,6.16,7.54,4.75,11.59,12.15,11.72,31.19,64.58,7.88,12.53,4.01,1,0.35,0.27,2.08,0.46,0,0,0,0.46,1.05,1.16,0.46,1.37,1.2,0.58,0,0,0.56
202412,7167,7149,假日,1,43.56,2,3.89,37.67,53.76,46.24,0.64,5.6,6.8,5.73,6.66,6.19,7.79,16.98,9.99,33.61,85.34,1.86,4.44,1.07,0.41,0.69,0,2.21,0,0,0,1.43,0.26,0.19,1,0.19,0.19,0,0.22,0.19,0,0.27
202412,7167,7150,假日,1,73.78,47.89,7.78,18.11,61.24,38.76,1,5.91,8.05,5.78,5.67,8.2,8.64,17.46,11.73,27.57,71.95,6.57,12.7,1.44,0.29,0.66,0.13,1.07,0.12,0.11,0.27,0.23,0.12,0.43,0.92,0,2.47,0,0.11,0.17,0,0
202412,7167,7151,假日,1,26.89,11.44,3,12.44,63.58,36.42,0.31,6.39,7.59,8.62,4.53,4.94,20.22,10.33,10.37,26.71,73.98,3.05,10.3,2.72,0.48,0.34,0.34,2.11,0.29,0.29,0,0,0,0.62,2.55,0,2.64,0.29,0,0,0,0
202412,7168,7147,假日,1,9.44,0.33,0.78,8.33,50.78,49.22,0.74,3.77,4.7,5.64,5.11,7.03,9.15,10.28,24.89,28.7,84.8,1.39,11.05,0,0,0.74,0,1.01,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0
202412,7168,7148,假日,1,41.67,16.56,3.67,21.44,47.51,52.49,0.52,3.91,5.18,5.88,6.02,14.89,10.21,9.59,10.87,32.94,77.85,4.24,13.13,1.37,0.26,0.21,0.24,0.37,0,0.37,0,0,0,0.49,0.81,0,0.44,0.23,0,0,0,0
202412,7168,7149,假日,1,42.56,25.78,6,10.78,61.21,38.79,0.86,8.33,5.83,12.28,6.32,11.24,8.98,9.76,16.02,20.37,65.1,4.14,17.63,2.84,0.22,0.43,0.19,2,0.3,0.19,0.23,0.19,2.52,0,0.89,2.22,0.47,0.22,0.23,0,0,0
202412,7169,7147,假日,1,14.22,4.89,1.56,7.78,50.86,49.14,1.23,2.71,5.01,5.68,15.44,7.56,9.16,8.81,14.67,29.72,82.5,2.99,9.88,0.69,0,0,0,1.35,0,0,0,0,1.85,0,0,0,0.74,0,0,0,0,0
